file_name,similarity(%),word_error_rate,character_error_rate,average_line_similarity(using fuzzywuzzy)
image_1,43.88287204171681,0.5755148741418764,0.3265778807180081,93.9925512104283
image_10,83.61474435196195,0.3392405063291139,0.12907735321528424,93.90452261306532
image_100,18.29268292682927,0.9074074074074074,0.6203645505971087,66.96319018404908
image_11,45.764244799517634,0.3474114441416894,0.17792479108635098,92.8246887966805
image_12,45.764244799517634,0.3474114441416894,0.17792479108635098,92.8246887966805
image_13,41.65079365079365,0.35110663983903423,0.18323689286340522,91.17004680187208
image_14,45.764244799517634,0.3474114441416894,0.17792479108635098,92.8246887966805
image_15,81.34233084078059,0.5929411764705882,0.11017247448081662,96.01041666666667
image_16,65.75716234652114,0.5965909090909091,0.22673238619889824,96.42490842490842
image_17,69.40928270042194,0.5996204933586338,0.19872537659327927,95.84
image_18,86.54119318181817,0.5855855855855856,0.131175468483816,96.87793427230046
image_19,72.98395721925134,0.667590027700831,0.15609555189456342,95.1726618705036
image_2,58.310120705663884,0.5225563909774437,0.3833028641072517,93.78571428571429
image_20,73.7577933119214,0.653012048192771,0.17651322943095324,95.77966101694915
image_21,58.425004365287236,0.6150442477876106,0.14038012670890296,96.45794392523365
image_22,72.57657657657658,0.48360655737704916,0.29864575908766927,93.83193277310924
image_23,67.33556298773689,0.4476987447698745,0.21356421356421357,93.13333333333334
image_24,1.92,0.9949748743718593,0.7891459074733096,46.20792079207921
image_25,42.470694319206494,0.5902439024390244,0.36907953529937443,88.34545454545454
image_26,81.96004993757803,0.3107142857142857,0.1383108935128519,94.68181818181819
image_27,56.86274509803921,0.5137931034482759,0.4569659442724458,96.14423076923077
image_28,89.3030794165316,0.4372093023255814,0.12854889589905363,95.13709677419355
image_29,47.48342744905475,0.7822085889570553,0.40702576112412175,89.97315436241611
image_3,58.310120705663884,0.5225563909774437,0.3833028641072517,93.78571428571429
image_30,17.370228236719853,0.8732673267326733,0.5873655913978495,74.10958904109589
image_31,12.224938875305623,0.6871794871794872,0.3606853020739405,86.57377049180327
image_32,84.29237947122861,0.4749034749034749,0.13935406698564592,93.53086419753086
image_33,58.767772511848335,0.5878136200716846,0.309662398137369,90.77304964539007
image_34,24.159663865546218,0.8214285714285714,0.6432906271072151,82.825
image_35,71.36124202938731,0.5132450331125827,0.22878228782287824,93.20422535211267
image_36,30.380868024800712,0.8608247422680413,0.5473421926910299,79.62037037037037
image_37,61.36900078678206,0.6586538461538461,0.24414210128495842,89.30708661417323
image_38,46.08843537414966,0.794392523364486,0.4409695074276779,79.93913043478261
image_39,47.13531084924828,0.625,0.3333333333333333,88.40566037735849
image_4,71.94556139808228,0.39492753623188404,0.2659636789689514,92.03508771929825
image_40,81.59392789373814,0.44755244755244755,0.14949279231179927,91.48993288590604
image_41,81.90899001109878,0.4166666666666667,0.08790623335109217,91.97790055248619
image_42,75.12254901960785,0.4804270462633452,0.12946690099589925,91.82432432432432
image_43,77.69181173436492,0.4398496240601504,0.11982705373687462,91.50354609929079
image_44,68.20843091334895,0.451505016722408,0.10100446428571429,90.22424242424242
image_45,81.90899001109878,0.4166666666666667,0.08790623335109217,91.97790055248619
image_46,38.60801050558109,0.48214285714285715,0.30953846153846154,88.55851063829788
image_47,80.37445670344367,0.5538461538461539,0.1879278158058494,91.88617886178862
image_48,68.51764705882353,0.4095744680851064,0.11500449236298294,90.88311688311688
image_49,58.949504057709646,0.4307496823379924,0.17472527472527472,96.94269870609982
image_5,58.310120705663884,0.5225563909774437,0.3833028641072517,93.78571428571429
image_51,37.87330784333987,0.4802395209580838,0.1391052526462952,96.60057197330791
image_52,72.80508364673842,0.41797432239657634,0.19456330229046062,95.41594827586206
image_53,15.221330572094228,0.67601246105919,0.49326010983524715,90.69767441860465
image_54,43.704652155356385,0.6288659793814433,0.43823760818253343,90.59433962264151
image_55,39.858371269600404,0.56875,0.39850374064837907,90.5906432748538
